council,year,measure,value,sex
Scotland,2006 - 2008 ,Life Expectancy,74.99,Male
Aberdeen City,2006 - 2008 ,Life Expectancy,75.38,Male
Aberdeenshire,2006 - 2008 ,Life Expectancy,77.52,Male
Angus,2006 - 2008 ,Life Expectancy,76.95,Male
Argyll and Bute,2006 - 2008 ,Life Expectancy,76.11,Male
City of Edinburgh,2006 - 2008 ,Life Expectancy,76.26,Male
Clackmannanshire,2006 - 2008 ,Life Expectancy,74.55,Male
Dumfries and Galloway,2006 - 2008 ,Life Expectancy,76.52,Male
Dundee City,2006 - 2008 ,Life Expectancy,73.64,Male
East Ayrshire,2006 - 2008 ,Life Expectancy,74.6,Male
East Dunbartonshire,2006 - 2008 ,Life Expectancy,78.08,Male
East Lothian,2006 - 2008 ,Life Expectancy,76.69,Male
East Renfrewshire,2006 - 2008 ,Life Expectancy,77.54,Male
Falkirk,2006 - 2008 ,Life Expectancy,75.22,Male
Fife,2006 - 2008 ,Life Expectancy,75.89,Male
Glasgow City,2006 - 2008 ,Life Expectancy,70.73,Male
Highland,2006 - 2008 ,Life Expectancy,76.06,Male
Inverclyde,2006 - 2008 ,Life Expectancy,73.01,Male
Midlothian,2006 - 2008 ,Life Expectancy,76.44,Male
Moray,2006 - 2008 ,Life Expectancy,76.57,Male
Na h-Eileanan Siar,2006 - 2008 ,Life Expectancy,73.87,Male
North Ayrshire,2006 - 2008 ,Life Expectancy,73.96,Male
North Lanarkshire,2006 - 2008 ,Life Expectancy,73.25,Male
Orkney Islands,2006 - 2008 ,Life Expectancy,74.95,Male
Perth and Kinross,2006 - 2008 ,Life Expectancy,77.41,Male
Renfrewshire,2006 - 2008 ,Life Expectancy,73.75,Male
Scottish Borders,2006 - 2008 ,Life Expectancy,77.32,Male
Shetland Islands,2006 - 2008 ,Life Expectancy,74.88,Male
South Ayrshire,2006 - 2008 ,Life Expectancy,75.54,Male
South Lanarkshire,2006 - 2008 ,Life Expectancy,74.47,Male
Stirling,2006 - 2008 ,Life Expectancy,77.16,Male
West Dunbartonshire,2006 - 2008 ,Life Expectancy,72.14,Male
West Lothian,2006 - 2008 ,Life Expectancy,75.92,Male
Scotland,2007 - 2009 ,Life Expectancy,75.34,Male
Aberdeen City,2007 - 2009 ,Life Expectancy,75.69,Male
Aberdeenshire,2007 - 2009 ,Life Expectancy,78.03,Male
Angus,2007 - 2009 ,Life Expectancy,77.14,Male
Argyll and Bute,2007 - 2009 ,Life Expectancy,76.34,Male
City of Edinburgh,2007 - 2009 ,Life Expectancy,76.64,Male
Clackmannanshire,2007 - 2009 ,Life Expectancy,75,Male
Dumfries and Galloway,2007 - 2009 ,Life Expectancy,76.91,Male
Dundee City,2007 - 2009 ,Life Expectancy,73.61,Male
East Ayrshire,2007 - 2009 ,Life Expectancy,74.61,Male
East Dunbartonshire,2007 - 2009 ,Life Expectancy,78.44,Male
East Lothian,2007 - 2009 ,Life Expectancy,76.82,Male
East Renfrewshire,2007 - 2009 ,Life Expectancy,78,Male
Falkirk,2007 - 2009 ,Life Expectancy,76.06,Male
Fife,2007 - 2009 ,Life Expectancy,76.13,Male
Glasgow City,2007 - 2009 ,Life Expectancy,71.17,Male
Highland,2007 - 2009 ,Life Expectancy,76.53,Male
Inverclyde,2007 - 2009 ,Life Expectancy,73.36,Male
Midlothian,2007 - 2009 ,Life Expectancy,76.68,Male
Moray,2007 - 2009 ,Life Expectancy,76.93,Male
Na h-Eileanan Siar,2007 - 2009 ,Life Expectancy,73.93,Male
North Ayrshire,2007 - 2009 ,Life Expectancy,74.15,Male
North Lanarkshire,2007 - 2009 ,Life Expectancy,73.93,Male
Orkney Islands,2007 - 2009 ,Life Expectancy,76.17,Male
Perth and Kinross,2007 - 2009 ,Life Expectancy,78.07,Male
Renfrewshire,2007 - 2009 ,Life Expectancy,73.83,Male
Scottish Borders,2007 - 2009 ,Life Expectancy,77.38,Male
Shetland Islands,2007 - 2009 ,Life Expectancy,76.01,Male
South Ayrshire,2007 - 2009 ,Life Expectancy,75.86,Male
South Lanarkshire,2007 - 2009 ,Life Expectancy,74.87,Male
Stirling,2007 - 2009 ,Life Expectancy,77.43,Male
West Dunbartonshire,2007 - 2009 ,Life Expectancy,72.59,Male
West Lothian,2007 - 2009 ,Life Expectancy,75.96,Male
Scotland,2008 - 2010 ,Life Expectancy,75.8,Male
Aberdeen City,2008 - 2010 ,Life Expectancy,76.25,Male
Aberdeenshire,2008 - 2010 ,Life Expectancy,78.16,Male
Angus,2008 - 2010 ,Life Expectancy,77.79,Male
Argyll and Bute,2008 - 2010 ,Life Expectancy,76.82,Male
City of Edinburgh,2008 - 2010 ,Life Expectancy,76.93,Male
Clackmannanshire,2008 - 2010 ,Life Expectancy,75.65,Male
Dumfries and Galloway,2008 - 2010 ,Life Expectancy,76.83,Male
Dundee City,2008 - 2010 ,Life Expectancy,73.71,Male
East Ayrshire,2008 - 2010 ,Life Expectancy,75.46,Male
East Dunbartonshire,2008 - 2010 ,Life Expectancy,79.57,Male
East Lothian,2008 - 2010 ,Life Expectancy,77.43,Male
East Renfrewshire,2008 - 2010 ,Life Expectancy,78.48,Male
Falkirk,2008 - 2010 ,Life Expectancy,76.51,Male
Fife,2008 - 2010 ,Life Expectancy,76.35,Male
Glasgow City,2008 - 2010 ,Life Expectancy,71.76,Male
Highland,2008 - 2010 ,Life Expectancy,76.62,Male
Inverclyde,2008 - 2010 ,Life Expectancy,73.29,Male
Midlothian,2008 - 2010 ,Life Expectancy,76.72,Male
Moray,2008 - 2010 ,Life Expectancy,77.14,Male
Na h-Eileanan Siar,2008 - 2010 ,Life Expectancy,74.52,Male
North Ayrshire,2008 - 2010 ,Life Expectancy,75.24,Male
North Lanarkshire,2008 - 2010 ,Life Expectancy,74.49,Male
Orkney Islands,2008 - 2010 ,Life Expectancy,78.04,Male
Perth and Kinross,2008 - 2010 ,Life Expectancy,78.96,Male
Renfrewshire,2008 - 2010 ,Life Expectancy,74,Male
Scottish Borders,2008 - 2010 ,Life Expectancy,77.78,Male
Shetland Islands,2008 - 2010 ,Life Expectancy,77.04,Male
South Ayrshire,2008 - 2010 ,Life Expectancy,76.38,Male
South Lanarkshire,2008 - 2010 ,Life Expectancy,75.74,Male
Stirling,2008 - 2010 ,Life Expectancy,77.93,Male
West Dunbartonshire,2008 - 2010 ,Life Expectancy,73.75,Male
West Lothian,2008 - 2010 ,Life Expectancy,76.22,Male
Scotland,2009 - 2011 ,Life Expectancy,76.22,Male
Aberdeen City,2009 - 2011 ,Life Expectancy,76.66,Male
Aberdeenshire,2009 - 2011 ,Life Expectancy,78.58,Male
Angus,2009 - 2011 ,Life Expectancy,78.23,Male
Argyll and Bute,2009 - 2011 ,Life Expectancy,77.33,Male
City of Edinburgh,2009 - 2011 ,Life Expectancy,77.34,Male
Clackmannanshire,2009 - 2011 ,Life Expectancy,76.52,Male
Dumfries and Galloway,2009 - 2011 ,Life Expectancy,77.33,Male
Dundee City,2009 - 2011 ,Life Expectancy,74.02,Male
East Ayrshire,2009 - 2011 ,Life Expectancy,75.77,Male
East Dunbartonshire,2009 - 2011 ,Life Expectancy,79.88,Male
East Lothian,2009 - 2011 ,Life Expectancy,77.63,Male
East Renfrewshire,2009 - 2011 ,Life Expectancy,79.1,Male
Falkirk,2009 - 2011 ,Life Expectancy,76.97,Male
Fife,2009 - 2011 ,Life Expectancy,76.71,Male
Glasgow City,2009 - 2011 ,Life Expectancy,72.19,Male
Highland,2009 - 2011 ,Life Expectancy,76.74,Male
Inverclyde,2009 - 2011 ,Life Expectancy,73.28,Male
Midlothian,2009 - 2011 ,Life Expectancy,77.07,Male
Moray,2009 - 2011 ,Life Expectancy,77.15,Male
Na h-Eileanan Siar,2009 - 2011 ,Life Expectancy,75.67,Male
North Ayrshire,2009 - 2011 ,Life Expectancy,75.28,Male
North Lanarkshire,2009 - 2011 ,Life Expectancy,74.75,Male
Orkney Islands,2009 - 2011 ,Life Expectancy,79.65,Male
Perth and Kinross,2009 - 2011 ,Life Expectancy,79.29,Male
Renfrewshire,2009 - 2011 ,Life Expectancy,74.77,Male
Scottish Borders,2009 - 2011 ,Life Expectancy,78.12,Male
Shetland Islands,2009 - 2011 ,Life Expectancy,78.01,Male
South Ayrshire,2009 - 2011 ,Life Expectancy,77.15,Male
South Lanarkshire,2009 - 2011 ,Life Expectancy,76.31,Male
Stirling,2009 - 2011 ,Life Expectancy,78.36,Male
West Dunbartonshire,2009 - 2011 ,Life Expectancy,74.28,Male
West Lothian,2009 - 2011 ,Life Expectancy,76.81,Male
Scotland,2010 - 2012 ,Life Expectancy,76.53,Male
Aberdeen City,2010 - 2012 ,Life Expectancy,77.13,Male
Aberdeenshire,2010 - 2012 ,Life Expectancy,78.94,Male
Angus,2010 - 2012 ,Life Expectancy,78.27,Male
Argyll and Bute,2010 - 2012 ,Life Expectancy,77.26,Male
City of Edinburgh,2010 - 2012 ,Life Expectancy,77.38,Male
Clackmannanshire,2010 - 2012 ,Life Expectancy,77.01,Male
Dumfries and Galloway,2010 - 2012 ,Life Expectancy,77.52,Male
Dundee City,2010 - 2012 ,Life Expectancy,74.34,Male
East Ayrshire,2010 - 2012 ,Life Expectancy,76.14,Male
East Dunbartonshire,2010 - 2012 ,Life Expectancy,80.05,Male
East Lothian,2010 - 2012 ,Life Expectancy,78.21,Male
East Renfrewshire,2010 - 2012 ,Life Expectancy,79.92,Male
Falkirk,2010 - 2012 ,Life Expectancy,76.92,Male
Fife,2010 - 2012 ,Life Expectancy,77.01,Male
Glasgow City,2010 - 2012 ,Life Expectancy,72.61,Male
Highland,2010 - 2012 ,Life Expectancy,77.23,Male
Inverclyde,2010 - 2012 ,Life Expectancy,73.73,Male
Midlothian,2010 - 2012 ,Life Expectancy,77.59,Male
Moray,2010 - 2012 ,Life Expectancy,77.36,Male
Na h-Eileanan Siar,2010 - 2012 ,Life Expectancy,76.37,Male
North Ayrshire,2010 - 2012 ,Life Expectancy,76.03,Male
North Lanarkshire,2010 - 2012 ,Life Expectancy,74.93,Male
Orkney Islands,2010 - 2012 ,Life Expectancy,79.71,Male
Perth and Kinross,2010 - 2012 ,Life Expectancy,79.5,Male
Renfrewshire,2010 - 2012 ,Life Expectancy,75.26,Male
Scottish Borders,2010 - 2012 ,Life Expectancy,78.72,Male
Shetland Islands,2010 - 2012 ,Life Expectancy,77.43,Male
South Ayrshire,2010 - 2012 ,Life Expectancy,77.34,Male
South Lanarkshire,2010 - 2012 ,Life Expectancy,76.37,Male
Stirling,2010 - 2012 ,Life Expectancy,78.39,Male
West Dunbartonshire,2010 - 2012 ,Life Expectancy,74.15,Male
West Lothian,2010 - 2012 ,Life Expectancy,77.1,Male
Scotland,2011 - 2013 ,Life Expectancy,76.8,Male
Aberdeen City,2011 - 2013 ,Life Expectancy,77.13,Male
Aberdeenshire,2011 - 2013 ,Life Expectancy,79.24,Male
Angus,2011 - 2013 ,Life Expectancy,78.5,Male
Argyll and Bute,2011 - 2013 ,Life Expectancy,78.21,Male
City of Edinburgh,2011 - 2013 ,Life Expectancy,77.57,Male
Clackmannanshire,2011 - 2013 ,Life Expectancy,77.03,Male
Dumfries and Galloway,2011 - 2013 ,Life Expectancy,78.04,Male
Dundee City,2011 - 2013 ,Life Expectancy,75.11,Male
East Ayrshire,2011 - 2013 ,Life Expectancy,75.76,Male
East Dunbartonshire,2011 - 2013 ,Life Expectancy,80.52,Male
East Lothian,2011 - 2013 ,Life Expectancy,78.51,Male
East Renfrewshire,2011 - 2013 ,Life Expectancy,79.66,Male
Falkirk,2011 - 2013 ,Life Expectancy,76.78,Male
Fife,2011 - 2013 ,Life Expectancy,77.19,Male
Glasgow City,2011 - 2013 ,Life Expectancy,73.01,Male
Highland,2011 - 2013 ,Life Expectancy,77.65,Male
Inverclyde,2011 - 2013 ,Life Expectancy,74.66,Male
Midlothian,2011 - 2013 ,Life Expectancy,77.25,Male
Moray,2011 - 2013 ,Life Expectancy,77.92,Male
Na h-Eileanan Siar,2011 - 2013 ,Life Expectancy,77.17,Male
North Ayrshire,2011 - 2013 ,Life Expectancy,75.94,Male
North Lanarkshire,2011 - 2013 ,Life Expectancy,75.09,Male
Orkney Islands,2011 - 2013 ,Life Expectancy,78.76,Male
Perth and Kinross,2011 - 2013 ,Life Expectancy,79.27,Male
Renfrewshire,2011 - 2013 ,Life Expectancy,75.72,Male
Scottish Borders,2011 - 2013 ,Life Expectancy,79.29,Male
Shetland Islands,2011 - 2013 ,Life Expectancy,77.85,Male
South Ayrshire,2011 - 2013 ,Life Expectancy,77.73,Male
South Lanarkshire,2011 - 2013 ,Life Expectancy,76.51,Male
Stirling,2011 - 2013 ,Life Expectancy,78.53,Male
West Dunbartonshire,2011 - 2013 ,Life Expectancy,74.17,Male
West Lothian,2011 - 2013 ,Life Expectancy,77.55,Male
Scotland,2012 - 2014 ,Life Expectancy,77.08,Male
Aberdeen City,2012 - 2014 ,Life Expectancy,76.8,Male
Aberdeenshire,2012 - 2014 ,Life Expectancy,79.41,Male
Angus,2012 - 2014 ,Life Expectancy,78.64,Male
Argyll and Bute,2012 - 2014 ,Life Expectancy,78.32,Male
City of Edinburgh,2012 - 2014 ,Life Expectancy,77.9,Male
Clackmannanshire,2012 - 2014 ,Life Expectancy,77.2,Male
Dumfries and Galloway,2012 - 2014 ,Life Expectancy,78.02,Male
Dundee City,2012 - 2014 ,Life Expectancy,75.31,Male
East Ayrshire,2012 - 2014 ,Life Expectancy,75.89,Male
East Dunbartonshire,2012 - 2014 ,Life Expectancy,80.73,Male
East Lothian,2012 - 2014 ,Life Expectancy,78.53,Male
East Renfrewshire,2012 - 2014 ,Life Expectancy,79.82,Male
Falkirk,2012 - 2014 ,Life Expectancy,77.3,Male
Fife,2012 - 2014 ,Life Expectancy,77.66,Male
Glasgow City,2012 - 2014 ,Life Expectancy,73.37,Male
Highland,2012 - 2014 ,Life Expectancy,78.33,Male
Inverclyde,2012 - 2014 ,Life Expectancy,75.51,Male
Midlothian,2012 - 2014 ,Life Expectancy,77.41,Male
Moray,2012 - 2014 ,Life Expectancy,78.61,Male
Na h-Eileanan Siar,2012 - 2014 ,Life Expectancy,77.01,Male
North Ayrshire,2012 - 2014 ,Life Expectancy,76.47,Male
North Lanarkshire,2012 - 2014 ,Life Expectancy,75.42,Male
Orkney Islands,2012 - 2014 ,Life Expectancy,78.74,Male
Perth and Kinross,2012 - 2014 ,Life Expectancy,79.49,Male
Renfrewshire,2012 - 2014 ,Life Expectancy,75.89,Male
Scottish Borders,2012 - 2014 ,Life Expectancy,79.31,Male
Shetland Islands,2012 - 2014 ,Life Expectancy,77.95,Male
South Ayrshire,2012 - 2014 ,Life Expectancy,78.23,Male
South Lanarkshire,2012 - 2014 ,Life Expectancy,76.64,Male
Stirling,2012 - 2014 ,Life Expectancy,78.36,Male
West Dunbartonshire,2012 - 2014 ,Life Expectancy,74.65,Male
West Lothian,2012 - 2014 ,Life Expectancy,77.91,Male
Scotland,2013 - 2015 ,Life Expectancy,77.12,Male
Aberdeen City,2013 - 2015 ,Life Expectancy,76.57,Male
Aberdeenshire,2013 - 2015 ,Life Expectancy,79.15,Male
Angus,2013 - 2015 ,Life Expectancy,78.57,Male
Argyll and Bute,2013 - 2015 ,Life Expectancy,78.21,Male
City of Edinburgh,2013 - 2015 ,Life Expectancy,77.96,Male
Clackmannanshire,2013 - 2015 ,Life Expectancy,76.93,Male
Dumfries and Galloway,2013 - 2015 ,Life Expectancy,78.13,Male
Dundee City,2013 - 2015 ,Life Expectancy,75.12,Male
East Ayrshire,2013 - 2015 ,Life Expectancy,76.1,Male
East Dunbartonshire,2013 - 2015 ,Life Expectancy,80.48,Male
East Lothian,2013 - 2015 ,Life Expectancy,78.43,Male
East Renfrewshire,2013 - 2015 ,Life Expectancy,79.28,Male
Falkirk,2013 - 2015 ,Life Expectancy,77.44,Male
Fife,2013 - 2015 ,Life Expectancy,77.66,Male
Glasgow City,2013 - 2015 ,Life Expectancy,73.36,Male
Highland,2013 - 2015 ,Life Expectancy,77.85,Male
Inverclyde,2013 - 2015 ,Life Expectancy,75.44,Male
Midlothian,2013 - 2015 ,Life Expectancy,77.35,Male
Moray,2013 - 2015 ,Life Expectancy,78.75,Male
Na h-Eileanan Siar,2013 - 2015 ,Life Expectancy,76.75,Male
North Ayrshire,2013 - 2015 ,Life Expectancy,76.12,Male
North Lanarkshire,2013 - 2015 ,Life Expectancy,75.34,Male
Orkney Islands,2013 - 2015 ,Life Expectancy,78.79,Male
Perth and Kinross,2013 - 2015 ,Life Expectancy,79.76,Male
Renfrewshire,2013 - 2015 ,Life Expectancy,76.3,Male
Scottish Borders,2013 - 2015 ,Life Expectancy,78.81,Male
Shetland Islands,2013 - 2015 ,Life Expectancy,77.62,Male
South Ayrshire,2013 - 2015 ,Life Expectancy,77.74,Male
South Lanarkshire,2013 - 2015 ,Life Expectancy,76.97,Male
Stirling,2013 - 2015 ,Life Expectancy,78.54,Male
West Dunbartonshire,2013 - 2015 ,Life Expectancy,74.75,Male
West Lothian,2013 - 2015 ,Life Expectancy,78.21,Male
Scotland,2014 - 2016 ,Life Expectancy,77.09,Male
Aberdeen City,2014 - 2016 ,Life Expectancy,76.4,Male
Aberdeenshire,2014 - 2016 ,Life Expectancy,79.24,Male
Angus,2014 - 2016 ,Life Expectancy,78.51,Male
Argyll and Bute,2014 - 2016 ,Life Expectancy,77.37,Male
City of Edinburgh,2014 - 2016 ,Life Expectancy,77.99,Male
Clackmannanshire,2014 - 2016 ,Life Expectancy,76.72,Male
Dumfries and Galloway,2014 - 2016 ,Life Expectancy,77.84,Male
Dundee City,2014 - 2016 ,Life Expectancy,74.5,Male
East Ayrshire,2014 - 2016 ,Life Expectancy,76.47,Male
East Dunbartonshire,2014 - 2016 ,Life Expectancy,80.08,Male
East Lothian,2014 - 2016 ,Life Expectancy,78.26,Male
East Renfrewshire,2014 - 2016 ,Life Expectancy,80.12,Male
Falkirk,2014 - 2016 ,Life Expectancy,77.25,Male
Fife,2014 - 2016 ,Life Expectancy,77.61,Male
Glasgow City,2014 - 2016 ,Life Expectancy,73.37,Male
Highland,2014 - 2016 ,Life Expectancy,77.94,Male
Inverclyde,2014 - 2016 ,Life Expectancy,75.64,Male
Midlothian,2014 - 2016 ,Life Expectancy,77.86,Male
Moray,2014 - 2016 ,Life Expectancy,78.67,Male
Na h-Eileanan Siar,2014 - 2016 ,Life Expectancy,76.64,Male
North Ayrshire,2014 - 2016 ,Life Expectancy,75.92,Male
North Lanarkshire,2014 - 2016 ,Life Expectancy,75.37,Male
Orkney Islands,2014 - 2016 ,Life Expectancy,80.35,Male
Perth and Kinross,2014 - 2016 ,Life Expectancy,79.9,Male
Renfrewshire,2014 - 2016 ,Life Expectancy,76.4,Male
Scottish Borders,2014 - 2016 ,Life Expectancy,78.64,Male
Shetland Islands,2014 - 2016 ,Life Expectancy,77.6,Male
South Ayrshire,2014 - 2016 ,Life Expectancy,77.54,Male
South Lanarkshire,2014 - 2016 ,Life Expectancy,76.81,Male
Stirling,2014 - 2016 ,Life Expectancy,78.65,Male
West Dunbartonshire,2014 - 2016 ,Life Expectancy,74.73,Male
West Lothian,2014 - 2016 ,Life Expectancy,78.28,Male
Scotland,2015 - 2017 ,Life Expectancy,77.02,Male
Aberdeen City,2015 - 2017 ,Life Expectancy,76.9,Male
Aberdeenshire,2015 - 2017 ,Life Expectancy,79.14,Male
Angus,2015 - 2017 ,Life Expectancy,78.16,Male
Argyll and Bute,2015 - 2017 ,Life Expectancy,77.36,Male
City of Edinburgh,2015 - 2017 ,Life Expectancy,77.97,Male
Clackmannanshire,2015 - 2017 ,Life Expectancy,76.67,Male
Dumfries and Galloway,2015 - 2017 ,Life Expectancy,77.85,Male
Dundee City,2015 - 2017 ,Life Expectancy,73.94,Male
East Ayrshire,2015 - 2017 ,Life Expectancy,76.42,Male
East Dunbartonshire,2015 - 2017 ,Life Expectancy,80.08,Male
East Lothian,2015 - 2017 ,Life Expectancy,78.28,Male
East Renfrewshire,2015 - 2017 ,Life Expectancy,80.5,Male
Falkirk,2015 - 2017 ,Life Expectancy,77.19,Male
Fife,2015 - 2017 ,Life Expectancy,77.19,Male
Glasgow City,2015 - 2017 ,Life Expectancy,73.35,Male
Highland,2015 - 2017 ,Life Expectancy,77.76,Male
Inverclyde,2015 - 2017 ,Life Expectancy,75.16,Male
Midlothian,2015 - 2017 ,Life Expectancy,77.88,Male
Moray,2015 - 2017 ,Life Expectancy,78.69,Male
Na h-Eileanan Siar,2015 - 2017 ,Life Expectancy,76.81,Male
North Ayrshire,2015 - 2017 ,Life Expectancy,76.06,Male
North Lanarkshire,2015 - 2017 ,Life Expectancy,75.29,Male
Orkney Islands,2015 - 2017 ,Life Expectancy,79.52,Male
Perth and Kinross,2015 - 2017 ,Life Expectancy,79.33,Male
Renfrewshire,2015 - 2017 ,Life Expectancy,76.17,Male
Scottish Borders,2015 - 2017 ,Life Expectancy,78.95,Male
Shetland Islands,2015 - 2017 ,Life Expectancy,78.29,Male
South Ayrshire,2015 - 2017 ,Life Expectancy,77.18,Male
South Lanarkshire,2015 - 2017 ,Life Expectancy,76.8,Male
Stirling,2015 - 2017 ,Life Expectancy,78.83,Male
West Dunbartonshire,2015 - 2017 ,Life Expectancy,75.04,Male
West Lothian,2015 - 2017 ,Life Expectancy,78.08,Male
Scotland,2016 - 2018 ,Life Expectancy,77.06,Male
Aberdeen City,2016 - 2018 ,Life Expectancy,76.9,Male
Aberdeenshire,2016 - 2018 ,Life Expectancy,79.23,Male
Angus,2016 - 2018 ,Life Expectancy,78.35,Male
Argyll and Bute,2016 - 2018 ,Life Expectancy,77.88,Male
City of Edinburgh,2016 - 2018 ,Life Expectancy,78.08,Male
Clackmannanshire,2016 - 2018 ,Life Expectancy,76.9,Male
Dumfries and Galloway,2016 - 2018 ,Life Expectancy,77.92,Male
Dundee City,2016 - 2018 ,Life Expectancy,73.95,Male
East Ayrshire,2016 - 2018 ,Life Expectancy,76.01,Male
East Dunbartonshire,2016 - 2018 ,Life Expectancy,80.37,Male
East Lothian,2016 - 2018 ,Life Expectancy,78.64,Male
East Renfrewshire,2016 - 2018 ,Life Expectancy,80.68,Male
Falkirk,2016 - 2018 ,Life Expectancy,77.1,Male
Fife,2016 - 2018 ,Life Expectancy,77.23,Male
Glasgow City,2016 - 2018 ,Life Expectancy,73.36,Male
Highland,2016 - 2018 ,Life Expectancy,77.75,Male
Inverclyde,2016 - 2018 ,Life Expectancy,75.16,Male
Midlothian,2016 - 2018 ,Life Expectancy,77.92,Male
Moray,2016 - 2018 ,Life Expectancy,78.97,Male
Na h-Eileanan Siar,2016 - 2018 ,Life Expectancy,77.44,Male
North Ayrshire,2016 - 2018 ,Life Expectancy,76.34,Male
North Lanarkshire,2016 - 2018 ,Life Expectancy,75.23,Male
Orkney Islands,2016 - 2018 ,Life Expectancy,79.09,Male
Perth and Kinross,2016 - 2018 ,Life Expectancy,79.13,Male
Renfrewshire,2016 - 2018 ,Life Expectancy,75.82,Male
Scottish Borders,2016 - 2018 ,Life Expectancy,78.83,Male
Shetland Islands,2016 - 2018 ,Life Expectancy,79.48,Male
South Ayrshire,2016 - 2018 ,Life Expectancy,77.3,Male
South Lanarkshire,2016 - 2018 ,Life Expectancy,76.83,Male
Stirling,2016 - 2018 ,Life Expectancy,78.68,Male
West Dunbartonshire,2016 - 2018 ,Life Expectancy,74.99,Male
West Lothian,2016 - 2018 ,Life Expectancy,77.79,Male
Scotland,2017 - 2019 ,Life Expectancy,77.16,Male
Aberdeen City,2017 - 2019 ,Life Expectancy,77.07,Male
Aberdeenshire,2017 - 2019 ,Life Expectancy,79.29,Male
Angus,2017 - 2019 ,Life Expectancy,78.33,Male
Argyll and Bute,2017 - 2019 ,Life Expectancy,78.34,Male
City of Edinburgh,2017 - 2019 ,Life Expectancy,78.38,Male
Clackmannanshire,2017 - 2019 ,Life Expectancy,76.6,Male
Dumfries and Galloway,2017 - 2019 ,Life Expectancy,78.19,Male
Dundee City,2017 - 2019 ,Life Expectancy,73.92,Male
East Ayrshire,2017 - 2019 ,Life Expectancy,75.88,Male
East Dunbartonshire,2017 - 2019 ,Life Expectancy,80.54,Male
East Lothian,2017 - 2019 ,Life Expectancy,79.09,Male
East Renfrewshire,2017 - 2019 ,Life Expectancy,80.33,Male
Falkirk,2017 - 2019 ,Life Expectancy,77.33,Male
Fife,2017 - 2019 ,Life Expectancy,77.3,Male
Glasgow City,2017 - 2019 ,Life Expectancy,73.6,Male
Highland,2017 - 2019 ,Life Expectancy,77.8,Male
Inverclyde,2017 - 2019 ,Life Expectancy,74.87,Male
Midlothian,2017 - 2019 ,Life Expectancy,77.71,Male
Moray,2017 - 2019 ,Life Expectancy,79.14,Male
Na h-Eileanan Siar,2017 - 2019 ,Life Expectancy,77.84,Male
North Ayrshire,2017 - 2019 ,Life Expectancy,76.07,Male
North Lanarkshire,2017 - 2019 ,Life Expectancy,75.2,Male
Orkney Islands,2017 - 2019 ,Life Expectancy,79.04,Male
Perth and Kinross,2017 - 2019 ,Life Expectancy,79.05,Male
Renfrewshire,2017 - 2019 ,Life Expectancy,75.88,Male
Scottish Borders,2017 - 2019 ,Life Expectancy,79.15,Male
Shetland Islands,2017 - 2019 ,Life Expectancy,80.16,Male
South Ayrshire,2017 - 2019 ,Life Expectancy,77.28,Male
South Lanarkshire,2017 - 2019 ,Life Expectancy,76.92,Male
Stirling,2017 - 2019 ,Life Expectancy,78.3,Male
West Dunbartonshire,2017 - 2019 ,Life Expectancy,75.06,Male
West Lothian,2017 - 2019 ,Life Expectancy,77.87,Male
Scotland,2018 - 2020 ,Life Expectancy,76.81,Male
Aberdeen City,2018 - 2020 ,Life Expectancy,76.93,Male
Aberdeenshire,2018 - 2020 ,Life Expectancy,78.94,Male
Angus,2018 - 2020 ,Life Expectancy,78.45,Male
Argyll and Bute,2018 - 2020 ,Life Expectancy,78.01,Male
City of Edinburgh,2018 - 2020 ,Life Expectancy,78.15,Male
Clackmannanshire,2018 - 2020 ,Life Expectancy,76.17,Male
Dumfries and Galloway,2018 - 2020 ,Life Expectancy,78.03,Male
Dundee City,2018 - 2020 ,Life Expectancy,73.8,Male
East Ayrshire,2018 - 2020 ,Life Expectancy,75.23,Male
East Dunbartonshire,2018 - 2020 ,Life Expectancy,80.16,Male
East Lothian,2018 - 2020 ,Life Expectancy,79.28,Male
East Renfrewshire,2018 - 2020 ,Life Expectancy,79.53,Male
Falkirk,2018 - 2020 ,Life Expectancy,76.58,Male
Fife,2018 - 2020 ,Life Expectancy,77.15,Male
Glasgow City,2018 - 2020 ,Life Expectancy,73.14,Male
Highland,2018 - 2020 ,Life Expectancy,77.5,Male
Inverclyde,2018 - 2020 ,Life Expectancy,74.3,Male
Midlothian,2018 - 2020 ,Life Expectancy,77.44,Male
Moray,2018 - 2020 ,Life Expectancy,78.93,Male
Na h-Eileanan Siar,2018 - 2020 ,Life Expectancy,78.58,Male
North Ayrshire,2018 - 2020 ,Life Expectancy,75.3,Male
North Lanarkshire,2018 - 2020 ,Life Expectancy,74.52,Male
Orkney Islands,2018 - 2020 ,Life Expectancy,80.12,Male
Perth and Kinross,2018 - 2020 ,Life Expectancy,78.99,Male
Renfrewshire,2018 - 2020 ,Life Expectancy,75.71,Male
Scottish Borders,2018 - 2020 ,Life Expectancy,78.63,Male
Shetland Islands,2018 - 2020 ,Life Expectancy,80.6,Male
South Ayrshire,2018 - 2020 ,Life Expectancy,76.65,Male
South Lanarkshire,2018 - 2020 ,Life Expectancy,76.39,Male
Stirling,2018 - 2020 ,Life Expectancy,77.61,Male
West Dunbartonshire,2018 - 2020 ,Life Expectancy,74.1,Male
West Lothian,2018 - 2020 ,Life Expectancy,77.53,Male
